ts,asset,dw,regime
2025-11-22T08:00:00+00:00,BTC,1.71464e-05,capitulation
2025-11-22T09:00:00+00:00,BNB,4.20758e-05,capitulation
2025-11-22T09:00:00+00:00,BTC,4.20758e-05,capitulation
2025-11-22T10:00:00+00:00,BNB,3.04e-08,capitulation
2025-11-22T10:00:00+00:00,BTC,3.04e-08,capitulation
2025-11-22T11:00:00+00:00,BNB,2.3469e-06,capitulation
2025-11-22T11:00:00+00:00,BTC,2.3469e-06,capitulation
2025-11-22T12:00:00+00:00,BNB,5.42985e-05,capitulation
2025-11-22T12:00:00+00:00,BTC,5.42985e-05,capitulation
2025-11-22T13:00:00+00:00,BNB,1.641e-06,capitulation
2025-11-22T13:00:00+00:00,BTC,1.641e-06,capitulation
2025-11-22T14:00:00+00:00,BNB,7.9205e-05,capitulation
2025-11-22T14:00:00+00:00,BTC,7.9205e-05,capitulation
2025-11-22T15:00:00+00:00,BNB,0.0001021273,capitulation
2025-11-22T15:00:00+00:00,BTC,0.0001021273,capitulation
2025-11-22T16:00:00+00:00,BNB,4.2468e-06,capitulation
2025-11-22T16:00:00+00:00,BTC,4.2468e-06,capitulation
2025-11-22T17:00:00+00:00,BNB,6.06087e-05,capitulation
2025-11-22T17:00:00+00:00,BTC,6.06087e-05,capitulation
2025-11-22T18:00:00+00:00,BNB,3.0474e-06,capitulation
2025-11-22T18:00:00+00:00,BTC,3.0474e-06,capitulation
2025-11-22T19:00:00+00:00,BNB,5.0943e-06,capitulation
2025-11-22T19:00:00+00:00,BTC,5.0943e-06,capitulation
2025-11-22T20:00:00+00:00,BNB,1.524e-07,capitulation
2025-11-22T20:00:00+00:00,BTC,1.524e-07,capitulation
2025-11-22T21:00:00+00:00,BNB,9.09475e-05,capitulation
2025-11-22T21:00:00+00:00,BTC,9.09475e-05,capitulation
2025-11-22T22:00:00+00:00,BNB,1.0651e-06,capitulation
2025-11-22T22:00:00+00:00,BTC,1.0651e-06,capitulation
2025-11-22T23:00:00+00:00,BNB,0.000103967,capitulation
2025-11-22T23:00:00+00:00,BTC,0.000103967,capitulation
2025-11-23T00:00:00+00:00,BNB,1.92878e-05,capitulation
2025-11-23T00:00:00+00:00,BTC,1.92878e-05,capitulation
2025-11-23T01:00:00+00:00,BNB,1.66037e-05,capitulation
2025-11-23T01:00:00+00:00,BTC,1.66037e-05,capitulation
2025-11-23T02:00:00+00:00,BNB,0.0002386962,capitulation
2025-11-23T02:00:00+00:00,BTC,0.0002386962,capitulation
2025-11-23T03:00:00+00:00,BNB,0.0001063208,capitulation
2025-11-23T03:00:00+00:00,BTC,0.0001063208,capitulation
2025-11-23T04:00:00+00:00,BNB,3.20039e-05,capitulation
2025-11-23T04:00:00+00:00,BTC,3.20039e-05,capitulation
2025-11-23T05:00:00+00:00,BNB,2.0778e-05,capitulation
2025-11-23T05:00:00+00:00,BTC,2.0778e-05,capitulation
2025-11-23T06:00:00+00:00,BNB,1.7992e-06,capitulation
2025-11-23T06:00:00+00:00,BTC,1.7992e-06,capitulation
2025-11-23T07:00:00+00:00,BNB,4.82429e-05,capitulation
2025-11-23T07:00:00+00:00,BTC,4.82429e-05,capitulation
2025-11-23T08:00:00+00:00,BNB,2.45716e-05,capitulation
2025-11-23T08:00:00+00:00,BTC,2.45716e-05,capitulation
2025-11-23T09:00:00+00:00,BNB,4.13352e-05,capitulation
2025-11-23T09:00:00+00:00,BTC,4.13352e-05,capitulation
2025-11-23T10:00:00+00:00,BNB,4.19841e-05,capitulation
2025-11-23T10:00:00+00:00,BTC,4.19841e-05,capitulation
2025-11-23T11:00:00+00:00,BNB,1.5181e-05,capitulation
2025-11-23T11:00:00+00:00,BTC,1.5181e-05,capitulation
2025-11-23T12:00:00+00:00,BNB,8.97256e-05,capitulation
